product_id,category,price,base_price,amount,status,region,priority,old_name,user_id,order_date
P0066,Books,1336.13,1132.31,910.87,Completed,North,Medium,Item_66,18993,2025-11-30
P0067,Electronics,3795.74,3216.73,9501.16,Pending,North,Low,Item_67,26544,2025-08-31
P0068,Electronics,2863.45,2426.65,2257.85,Cancelled,East,High,Item_68,25012,2025-03-25
P0069,Clothing,629.68,533.63,354.22,Cancelled,West,Medium,Item_69,35995,2025-02-08
P0070,Sports,3484.01,2952.55,6309.7,Completed,East,Low,Item_70,25866,2025-10-17
P0071,Electronics,1801.30,1526.53,4340.94,Cancelled,North,Low,Item_71,11658,2025-08-04
P0072,Books,617.14,523,9611.8,Processing,South,Medium,Item_72,78386,2025-11-30
P0073,Clothing,3117.97,2642.35,9204.21,Processing,West,Medium,Item_73,87656,2025-05-18
P0074,Clothing,4273.39,3621.52,8324.24,Completed,East,Medium,Item_74,70910,2025-10-19
P0075,Sports,3374.12,2859.42,3430.33,Processing,East,High,Item_75,56507,2025-05-13
P0076,Clothing,1470.33,1246.04,6001.93,Cancelled,North,Low,Item_76,21221,2025-05-04
P0077,Books,2494.03,2113.58,7605.83,Processing,West,Medium,Item_77,22196,2025-05-31
P0078,Furniture,2081.57,1764.04,2508.72,Cancelled,West,Low,Item_78,65771,2025-10-09
P0079,Clothing,1823.87,1545.65,4592.08,Cancelled,East,High,Item_79,35242,2025-06-11
P0080,Electronics,3740.12,3169.59,9513.69,Pending,South,High,Item_80,46241,2025-10-29
P0081,Sports,3024.27,2562.94,9807.06,Pending,East,High,Item_81,49618,2025-01-08
P0082,Sports,720.26,610.39,550.61,Completed,East,Low,Item_82,93606,2025-09-09
P0083,Electronics,4376.33,3708.75,5783.24,Processing,West,Medium,Item_83,16734,2025-05-10
P0084,Books,659.03,558.5,746.9,Processing,North,Low,Item_84,17026,2025-03-19
P0085,Furniture,4074.60,3453.05,9496.34,Completed,South,High,Item_85,64548,2025-11-07
P0086,Sports,3974.63,3368.33,2334.3,Processing,West,Medium,Item_86,87139,2025-08-08
P0087,Clothing,2886.28,2446,696.28,Completed,South,Low,Item_87,96563,2025-02-11
P0088,Furniture,1275.34,1080.8,5564.72,Pending,North,Medium,Item_88,87832,2025-08-29
P0089,Clothing,259.94,220.29,2952.24,Cancelled,West,High,Item_89,44675,2025-11-17
P0090,Sports,3339.80,2830.34,9343.32,Processing,North,Low,Item_90,29528,2025-05-17
P0091,Furniture,449.91,381.28,1742.64,Cancelled,East,Medium,Item_91,49857,2025-12-25
P0092,Books,4719.11,3999.25,5054.67,Processing,West,High,Item_92,66626,2025-06-15
P0093,Sports,1326.80,1124.41,1004.14,Completed,East,Low,Item_93,,2025-03-31
P0094,Books,2642.92,2239.76,4478.07,Cancelled,South,Low,Item_94,74451,2025-02-16
P0095,Books,1805.01,1529.67,3399.75,Completed,South,Medium,Item_95,74942,2025-05-28
P0096,Books,4086.47,3463.11,5545.96,Processing,North,Medium,Item_96,25194,2025-07-26
P0097,Sports,4142.14,3510.29,111.4,Processing,West,High,Item_97,57419,2025-11-15
P0098,Books,3164.50,2681.78,7623.91,Pending,East,Low,Item_98,47752,2025-08-13
P0099,Books,694.99,588.97,9734.15,Pending,South,Medium,Item_99,82384,2025-07-28
P0100,Electronics,1201.03,1017.82,8429.92,Completed,West,High,Item_100,30181,2025-09-13
P0101,Clothing,2593.47,2197.86,2806.91,Processing,West,High,Item_101,28958,2025-07-16
P0102,Furniture,4617.15,3912.84,5131.58,Pending,North,Medium,Item_102,64387,2025-06-24
P0103,Sports,1409.15,1194.19,125.4,Cancelled,West,High,Item_103,73483,2025-06-26
P0104,Clothing,2804.40,2376.61,5479.96,Processing,East,High,Item_104,41300,2025-10-20
P0105,Books,1244.46,1054.63,7777.89,Completed,East,Low,Item_105,59968,2025-07-17
P0106,Furniture,2527.11,2141.62,466.49,Cancelled,North,Medium,Item_106,69890,2025-01-08
P0107,Furniture,2108.90,1787.2,6582.34,Pending,North,Medium,Item_107,44737,2025-06-23
P0108,Sports,3494.25,2961.23,6533.38,Cancelled,West,Medium,Item_108,73956,2025-10-05
P0109,Electronics,3125.55,2648.77,2424.23,Cancelled,South,Low,Item_109,22903,2025-11-21
P0110,Electronics,2274.02,1927.14,6970.61,Completed,North,Medium,Item_110,48452,2025-07-03
P0111,Clothing,2210.37,1873.19,2517.55,Processing,South,High,Item_111,89887,2025-07-15
P0112,Sports,3447.36,2921.49,5026.91,Pending,South,Medium,Item_112,70236,2025-05-11
P0113,Electronics,4504.65,3817.5,4706.01,Cancelled,South,High,Item_113,55293,2025-10-28
P0114,Clothing,3230.80,2737.97,4300.66,Cancelled,West,Medium,Item_114,60422,2025-09-05
P0115,Electronics,1262.31,1069.75,5762.03,Cancelled,East,High,Item_115,96275,2025-07-22
P0116,Clothing,139.68,118.37,8664.17,Completed,West,Medium,Item_116,40162,2025-11-07
P0117,Clothing,1173.12,994.17,1982.31,Cancelled,South,Low,Item_117,92242,2025-11-27
P0118,Electronics,1613.77,1367.6,4464.15,Cancelled,South,High,Item_118,52823,2025-08-01
P0119,Furniture,1083.89,918.55,7886.48,Cancelled,East,High,Item_119,73156,2025-06-01
P0120,Clothing,4040.74,3424.36,4736.48,Completed,South,High,Item_120,98395,2025-07-23
P0121,Sports,1892.30,1603.64,7927.75,Completed,East,Low,Item_121,58311,2025-12-11
P0122,Clothing,2964.34,2512.15,8241.93,Cancelled,North,Low,Item_122,13280,2025-11-14
P0123,Sports,1707.23,1446.81,6139.81,Completed,West,Low,Item_123,63516,2025-03-01
P0124,Furniture,322.20,273.05,468.4,Processing,North,High,Item_124,80457,2025-03-11
P0125,Books,2322.85,1968.52,6737.81,Processing,South,Medium,Item_125,74139,2025-11-12
P0126,Books,4701.36,3984.2,2869.43,Cancelled,South,Medium,Item_126,40947,2025-07-05
P0127,Electronics,4906.55,4158.09,3736.62,Cancelled,North,Medium,Item_127,26011,2025-08-21
P0128,Electronics,3347.57,2836.92,6452.87,Completed,North,Medium,Item_128,26505,2025-10-17
P0129,Furniture,436.19,369.65,7675.06,Pending,South,High,Item_129,29340,2025-11-02
P0130,Electronics,1458.65,1236.14,9841.88,Pending,East,High,Item_130,13379,2025-03-09
P0131,Electronics,1855.39,1572.36,7905.47,Cancelled,North,High,Item_131,26614,2025-08-04
P0132,Sports,656.88,556.68,729.22,Processing,East,Low,Item_132,69245,2025-09-15
P0133,Furniture,4732.54,4010.63,529.31,Cancelled,West,Low,Item_133,17972,2025-09-03
P0134,Books,2188.74,1854.86,1168.82,Processing,North,High,Item_134,29442,2025-02-03
P0135,Furniture,1447.58,1226.76,6367.46,Cancelled,West,Low,Item_135,69469,2025-09-16
P0136,Sports,2207.98,1871.17,7951.65,Completed,South,Medium,Item_136,39949,2025-07-31
P0137,Clothing,4154.35,3520.64,4047.43,Completed,East,Medium,Item_137,43408,2025-07-11
P0138,Furniture,3465.42,2936.8,4795.25,Completed,North,High,Item_138,58843,2025-03-08
P0139,Sports,393.91,333.82,9570.58,Cancelled,North,Medium,Item_139,97207,2025-08-05
P0140,Electronics,4845.15,4106.06,6044.06,Cancelled,North,Low,Item_140,30280,2025-12-03
P0141,Books,1198.80,1015.93,1171.36,Cancelled,North,Medium,Item_141,66244,2025-10-15
P0142,Sports,3106.51,2632.64,6462.72,Completed,East,High,Item_142,50499,2025-06-23
P0143,Clothing,129.92,110.1,8711.64,Processing,North,High,Item_143,14018,2025-02-16
P0144,Sports,1154.15,978.09,4256.34,Cancelled,South,Medium,Item_144,52517,2025-10-18
P0145,Sports,516.29,437.53,620.83,Pending,North,Low,Item_145,68079,2025-12-05
P0146,Books,2479.74,2101.47,4476.24,Cancelled,South,Low,Item_146,66349,2025-02-26
P0147,Clothing,3423.27,2901.08,5972.03,Cancelled,North,High,Item_147,88554,2025-01-29
P0148,Electronics,1101.67,933.62,9458.71,Pending,East,Medium,Item_148,11013,2025-09-12
P0149,Books,960.90,814.32,3864.05,Pending,East,High,Item_149,15544,2025-08-12
P0150,Electronics,2352.80,1993.9,870.84,Cancelled,West,Low,Item_150,93904,2025-08-02
P0151,Clothing,664.35,563.01,306.48,Cancelled,South,Low,Item_151,57428,2025-02-15
P0152,Books,4237.97,3591.5,2508.83,Processing,North,Medium,Item_152,54500,2025-04-24
P0153,Clothing,3917.68,3320.07,856.16,Completed,South,Medium,Item_153,94599,2025-03-17
P0154,Furniture,603.74,511.64,2634.09,Pending,South,Low,Item_154,92306,2025-09-10
P0155,Books,3796.78,3217.61,7622.78,Processing,East,Low,Item_155,67640,2025-02-04
P0156,Books,2266.82,1921.03,3097.92,Cancelled,North,Medium,Item_156,50685,2025-08-25
P0157,Books,284.28,240.92,3750.5,Cancelled,North,Low,Item_157,21835,2025-11-11
P0158,Sports,2584.63,2190.36,4680.85,Completed,West,Low,Item_158,52143,2025-11-06
P0159,Books,2556.70,2166.69,9581.45,Processing,North,Medium,Item_159,21053,2025-09-16
P0160,Furniture,291.80,247.29,7105.45,Processing,South,Medium,Item_160,47079,2025-07-18
P0161,Books,3894.88,3300.75,6821.09,Completed,East,High,Item_161,83133,2025-12-14
P0162,Books,1492.32,1264.68,7264.96,Pending,East,High,Item_162,28537,2025-06-29
P0163,Clothing,4841.71,4103.14,7014.95,Processing,South,Low,Item_163,21104,2025-06-08
P0164,Sports,1945.73,1648.92,7937.45,Pending,North,Low,Item_164,76648,2025-07-05
P0165,Electronics,1876.73,1590.45,1884.6,Pending,East,Medium,Item_165,28030,2025-03-21
P0166,Electronics,1549.38,1313.03,7902.39,Completed,East,Low,Item_166,59377,2025-03-20
P0167,Furniture,986.15,835.72,6959.17,Pending,West,High,Item_167,98652,2025-05-02
P0168,Books,3091.92,2620.27,7548.67,Processing,South,Low,Item_168,71474,2025-04-10
P0169,Clothing,3423.70,2901.44,5747.15,Processing,West,Medium,Item_169,75916,2025-09-28
P0170,Books,4834.71,4097.21,8187.22,Pending,East,High,Item_170,58655,2025-10-11
P0171,Electronics,3585.86,3038.86,5207.5,Completed,East,High,Item_171,45755,2025-08-19
P0172,Sports,822.01,696.62,4430.98,Pending,West,Medium,Item_172,64381,2025-01-28
P0173,Books,2559.83,2169.35,2434.2,Completed,East,High,Item_173,,2025-02-20
P0174,Clothing,3977.77,3370.99,1462.24,Cancelled,West,Low,Item_174,71487,2025-08-18
P0175,Sports,125.73,106.55,884.34,Cancelled,South,High,Item_175,89807,2025-09-28
P0176,Books,644.82,546.46,2952.21,Cancelled,North,High,Item_176,93748,2025-11-15
P0177,Books,407.76,345.56,8383.21,Processing,North,Low,Item_177,41711,2025-03-15
P0178,Clothing,2203.27,1867.18,6186.61,Pending,West,High,Item_178,21221,2025-09-26
P0179,Clothing,431.63,365.79,5307.99,Completed,West,Medium,Item_179,,2025-07-18
P0180,Clothing,1342.89,1138.04,260.8,Completed,East,High,Item_180,92346,2025-02-23
P0181,Sports,3702.42,3137.64,3391.93,Completed,East,Low,Item_181,94252,2025-03-31
P0182,Books,4906.01,4157.64,4837.46,Pending,South,High,Item_182,69988,2025-01-19
P0183,Clothing,1087.80,921.86,7931.98,Completed,East,Medium,Item_183,81176,2025-08-31
P0184,Clothing,279.44,236.81,6504.31,Cancelled,East,High,Item_184,53506,2025-05-20
P0185,Electronics,4016.78,3404.05,4425.82,Processing,West,Medium,Item_185,34486,2025-09-12
P0186,Books,1900.00,1610.17,7993.18,Cancelled,North,Low,Item_186,66440,2025-11-05
P0187,Furniture,2772.82,2349.85,3279.99,Completed,East,Low,Item_187,68447,2025-11-05
P0188,Books,916.56,776.75,4494.69,Processing,North,Low,Item_188,56210,2025-11-11
P0189,Books,1445.32,1224.85,9802.27,Completed,North,Low,Item_189,57619,2025-09-20
P0190,Furniture,4768.67,4041.25,1513.52,Processing,North,High,Item_190,94562,2025-07-07
P0191,Clothing,1975.99,1674.57,5715.72,Pending,West,Medium,Item_191,20077,2025-10-21
P0192,Furniture,2694.35,2283.35,4040.54,Cancelled,South,High,Item_192,,2025-04-06
P0193,Books,2636.95,2234.7,9144.07,Completed,East,Medium,Item_193,38124,2025-11-10
P0194,Clothing,3500.51,2966.53,9986.43,Pending,North,High,Item_194,69250,2025-03-30
P0195,Books,4986.59,4225.92,8124.08,Cancelled,East,Low,Item_195,81063,2025-05-29
P0196,Clothing,4271.67,3620.06,7146.91,Pending,East,Low,Item_196,36342,2025-03-13
P0197,Furniture,3972.83,3366.81,360.21,Cancelled,West,Low,Item_197,21300,2025-02-03
P0198,Clothing,2050.98,1738.12,7197.64,Processing,West,Medium,Item_198,19666,2025-03-06
P0199,Clothing,3247.46,2752.08,4554.75,Cancelled,South,Low,Item_199,33850,2025-03-08
P0200,Books,2564.03,2172.91,8695.3,Completed,South,Medium,Item_200,52291,2025-12-30
P0201,Furniture,1795.51,1521.62,9414.95,Cancelled,North,Medium,Item_201,82199,2025-05-21
P0202,Furniture,3162.61,2680.18,6182.84,Completed,South,Low,Item_202,30210,2025-03-29
P0203,Sports,3631.10,3077.2,6090.88,Completed,North,High,Item_203,,2025-11-25
P0204,Sports,1396.81,1183.74,2187,Processing,North,Medium,Item_204,81509,2025-05-29
P0205,Clothing,2466.43,2090.19,8066.41,Processing,East,Medium,Item_205,17852,2025-03-22
P0206,Books,2136.55,1810.64,4697.98,Cancelled,South,Medium,Item_206,51853,2025-06-26
P0207,Books,740.75,627.75,3768.35,Completed,East,High,Item_207,45058,2025-08-19
P0208,Furniture,790.30,669.75,600.99,Processing,West,High,Item_208,30932,2025-06-17
P0209,Sports,3633.53,3079.26,1979.36,Pending,West,Low,Item_209,50441,2025-09-12
P0210,Electronics,541.24,458.68,3993.1,Processing,South,High,Item_210,16377,2025-01-26
P0211,Clothing,2524.98,2139.81,8835.16,Processing,East,Low,Item_211,,2025-02-25
P0212,Books,756.28,640.92,2718.28,Cancelled,West,Medium,Item_212,,2025-01-27
P0213,Sports,2852.90,2417.71,3688.99,Cancelled,North,Medium,Item_213,82070,2025-05-24
P0214,Sports,3433.95,2910.13,1276.23,Completed,West,Medium,Item_214,54444,2025-10-13
P0215,Clothing,3799.33,3219.77,2070.67,Processing,North,High,Item_215,,2026-01-01
P0216,Clothing,4039.43,3423.25,5241.39,Pending,South,Medium,Item_216,51750,2025-03-25
P0217,Books,4954.02,4198.32,7419.26,Cancelled,East,Low,Item_217,79774,2025-09-08
P0218,Sports,1568.97,1329.64,8175.91,Cancelled,East,Low,Item_218,64596,2025-10-26
P0219,Clothing,4004.10,3393.31,7280.71,Completed,West,Medium,Item_219,85821,2025-10-23
P0220,Furniture,3634.86,3080.39,5876.88,Pending,West,High,Item_220,41745,2025-01-17
P0221,Sports,4746.21,4022.21,1187.97,Completed,West,Medium,Item_221,64127,2025-12-20
P0222,Furniture,2110.85,1788.86,7772.23,Processing,North,Low,Item_222,37176,2025-10-15
P0223,Clothing,4990.80,4229.49,4835.87,Processing,East,High,Item_223,79878,2025-06-25
P0224,Sports,1836.01,1555.94,7742.7,Cancelled,West,High,Item_224,46569,2025-10-13
P0225,Clothing,1201.85,1018.52,9731.82,Cancelled,East,Low,Item_225,74094,2025-06-12
P0226,Books,1809.14,1533.17,9343.63,Cancelled,East,High,Item_226,81197,2025-07-14
P0227,Books,4110.05,3483.09,9550.63,Pending,East,High,Item_227,20358,2025-06-27
P0228,Books,3314.26,2808.69,7498.65,Pending,South,Low,Item_228,83664,2025-12-23
P0229,Clothing,772.64,654.78,6195.2,Pending,South,High,Item_229,79604,2025-04-26
P0230,Furniture,357.21,302.72,4191.68,Processing,North,Low,Item_230,10679,2025-10-09
P0231,Furniture,2093.85,1774.45,9356.82,Processing,West,Low,Item_231,47649,2025-06-14
P0232,Clothing,3264.90,2766.86,9088.58,Completed,South,Low,Item_232,14888,2025-03-31
P0233,Books,4423.00,3748.31,1840.31,Completed,West,Medium,Item_233,47941,2025-01-20
P0234,Electronics,1562.12,1323.83,6067.55,Cancelled,East,Medium,Item_234,81211,2025-09-26
P0235,Books,4457.37,3777.43,1428.58,Processing,East,High,Item_235,53343,2025-03-25
P0236,Books,3276.60,2776.78,7214.12,Completed,East,Medium,Item_236,35318,2025-03-31
P0237,Sports,4295.12,3639.93,8980.72,Processing,East,High,Item_237,22502,2025-04-05
P0238,Furniture,2439.53,2067.4,9364.67,Completed,East,Medium,Item_238,44995,2025-06-18
P0239,Clothing,2954.06,2503.44,5771.49,Cancelled,East,Low,Item_239,97528,2025-03-02
P0240,Books,1603.35,1358.77,4113.62,Cancelled,North,Low,Item_240,48671,2025-07-08
P0241,Sports,1182.16,1001.83,9577.87,Processing,South,Medium,Item_241,89395,2025-07-11
P0242,Books,3539.51,2999.58,9136.69,Pending,South,Low,Item_242,20730,2025-09-27
P0243,Books,2688.05,2278.01,3681.67,Completed,North,Low,Item_243,36497,2025-10-21
P0244,Sports,834.28,707.02,3348.36,Processing,North,Low,Item_244,86434,2025-09-08
P0245,Electronics,4504.56,3817.42,4510.28,Completed,West,High,Item_245,69873,2025-10-16
P0246,Electronics,2838.11,2405.18,6760.4,Cancelled,North,Medium,Item_246,10395,2025-04-22
P0247,Sports,457.84,388,4294.6,Completed,North,High,Item_247,71875,2025-01-17
P0248,Clothing,2103.45,1782.58,7712.82,Processing,East,Medium,Item_248,59479,2025-07-12
P0249,Electronics,3445.38,2919.81,6651.75,Pending,East,High,Item_249,80419,2025-07-21
P0250,Sports,724.00,613.56,9789.37,Completed,North,Medium,Item_250,81361,2025-08-06
P0251,Sports,1958.45,1659.7,2373.67,Processing,East,High,Item_251,24790,2025-01-17
P0252,Books,3113.12,2638.24,9368.76,Completed,South,High,Item_252,87849,2025-01-18
P0253,Books,3029.15,2567.08,7062.53,Completed,South,Low,Item_253,,2025-08-13
P0254,Furniture,2744.82,2326.12,7568.42,Completed,South,Low,Item_254,40692,2025-10-22
P0255,Clothing,2929.63,2482.74,7748.13,Cancelled,South,Medium,Item_255,96535,2025-09-24
P0256,Furniture,2126.45,1802.08,2824.02,Pending,West,Low,Item_256,55143,2025-11-26
P0257,Books,3950.44,3347.83,3255.47,Processing,West,High,Item_257,34101,2025-10-03
P0258,Books,1280.74,1085.37,2330.91,Pending,West,High,Item_258,64592,2025-10-13
P0259,Sports,757.05,641.57,2504.3,Pending,East,Low,Item_259,68954,2025-07-09
P0260,Electronics,2724.61,2308.99,8311.12,Completed,East,Medium,Item_260,89026,2025-01-21
P0261,Electronics,1022.00,866.1,7640.79,Pending,West,High,Item_261,53642,2025-06-05
P0262,Electronics,1137.86,964.29,1981.23,Completed,West,High,Item_262,36805,2025-07-23
P0263,Furniture,2805.19,2377.28,7777.59,Processing,West,Low,Item_263,50425,2025-05-14
P0264,Clothing,2612.80,2214.24,5023.05,Completed,West,Medium,Item_264,58589,2025-06-10
P0265,Books,324.01,274.58,8654.44,Pending,North,Medium,Item_265,86550,2025-10-24
P0266,Books,1546.44,1310.54,2042.3,Pending,West,Low,Item_266,75444,2025-10-09
P0267,Clothing,1360.90,1153.31,8233.76,Processing,West,High,Item_267,56160,2025-03-28
P0268,Furniture,3629.54,3075.88,4934.33,Completed,North,High,Item_268,97584,2025-01-25
P0269,Electronics,2120.72,1797.22,8441.19,Pending,North,Low,Item_269,38668,2025-09-16
P0270,Books,1928.68,1634.47,6216.57,Processing,West,High,Item_270,,2025-10-10
P0271,Books,158.07,133.96,5341.23,Cancelled,East,High,Item_271,98346,2025-08-09
P0272,Furniture,624.38,529.14,1053.51,Pending,South,High,Item_272,43084,2025-07-01
P0273,Clothing,3995.19,3385.75,882.29,Processing,West,Low,Item_273,39603,2025-06-03
P0274,Electronics,3303.31,2799.42,8596.37,Completed,North,Medium,Item_274,82443,2025-09-01
P0275,Electronics,3220.07,2728.87,7058.17,Completed,West,Medium,Item_275,53420,2025-10-17
P0276,Electronics,4484.48,3800.41,9199.61,Pending,South,Low,Item_276,72324,2025-05-19
P0277,Electronics,4628.38,3922.36,6875.84,Cancelled,North,High,Item_277,51220,2025-01-09
P0278,Furniture,2976.48,2522.44,7547.32,Processing,North,Medium,Item_278,41519,2025-10-18
P0279,Books,3417.47,2896.16,5451.57,Processing,South,Low,Item_279,75639,2025-06-27
P0280,Electronics,578.66,490.39,2398.23,Completed,East,Low,Item_280,88067,2025-07-23
P0281,Clothing,245.17,207.77,2805.94,Processing,West,High,Item_281,59207,2025-08-10
P0282,Furniture,3430.50,2907.2,6640.65,Completed,East,High,Item_282,20752,2025-05-18
P0283,Furniture,1962.00,1662.71,7860.51,Pending,West,Medium,Item_283,21995,2025-01-03
P0284,Clothing,2279.21,1931.53,7637.33,Completed,South,High,Item_284,68830,2025-10-13
P0285,Sports,2610.96,2212.68,1122.6,Completed,East,Low,Item_285,88386,2025-06-16
P0286,Books,160.47,135.99,4196.72,Completed,South,Low,Item_286,99825,2025-07-14
P0287,Furniture,780.32,661.29,3081.2,Processing,South,High,Item_287,46170,2025-08-04
P0288,Clothing,2472.73,2095.53,861.52,Cancelled,South,Low,Item_288,87831,2025-11-12
P0289,Furniture,2343.52,1986.03,1441.35,Completed,West,Medium,Item_289,59792,2025-06-18
P0290,Books,1740.21,1474.75,8173.21,Pending,East,Medium,Item_290,36326,2025-09-03
P0291,Clothing,970.42,822.39,4042.57,Cancelled,East,Low,Item_291,74357,2025-10-22
P0292,Furniture,1696.84,1438,2874.97,Processing,East,High,Item_292,36188,2025-10-31
P0293,Sports,981.64,831.9,7699.42,Completed,West,Low,Item_293,48185,2025-12-21
P0294,Electronics,4112.93,3485.53,7977,Processing,West,High,Item_294,41722,2025-05-10
P0295,Furniture,3604.66,3054.8,7911.86,Completed,West,Low,Item_295,62534,2025-10-01
